question_id,video_id,video_path,correct_idx,pred_idx,is_correct,response,num_frames,frame_height,frame_width,total_pixels,requested_pixels,input_tokens,output_tokens,sample_fps_eff
fine_grained_action_localization_6,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_6.mp4,0,3,0,3,4,1408,1408,7929856,262144,562,2,0.030816640019257498
fine_grained_action_localization_31,P02-20240211-141313,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_31.mp4,3,1,0,1,4,1408,1408,7929856,262144,566,2,0.009039547856316964
fine_grained_action_localization_53,P02-20240211-111219,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_53.mp4,3,0,0,0,4,1408,1408,7929856,262144,562,2,0.023081362068670317
fine_grained_action_localization_66,P02-20240211-115653,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_66.mp4,2,0,0,0,4,1408,1408,7929856,262144,563,2,0.015764582548657587
fine_grained_action_localization_71,P02-20240209-194141,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_71.mp4,2,0,0,0,4,1408,1408,7929856,262144,562,2,0.010024225364454135
fine_grained_action_localization_81,P02-20240209-194141,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_81.mp4,3,1,0,1,4,1408,1408,7929856,262144,563,2,0.011835486377909767
fine_grained_action_localization_87,P02-20240211-111822,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_87.mp4,2,0,0,0,4,1408,1408,7929856,262144,567,2,0.009445843551461821
fine_grained_action_localization_99,P02-20240211-115653,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_99.mp4,3,4,0,4,4,1408,1408,7929856,262144,563,2,0.009910802426090192
fine_grained_action_localization_107,P02-20240211-111822,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_107.mp4,4,1,0,1,4,1408,1408,7929856,262144,563,2,0.02516778507381295
fine_grained_action_localization_114,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_114.mp4,4,2,0,2,4,1408,1408,7929856,262144,564,2,0.021917808591413512
fine_grained_action_localization_132,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_132.mp4,3,0,0,0,4,1408,1408,7929856,262144,562,2,0.021711598340379386
fine_grained_action_localization_144,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_144.mp4,0,1,0,1,4,1408,1408,7929856,262144,562,2,0.02742230232904535
fine_grained_action_localization_181,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_181.mp4,3,0,0,0,4,1408,1408,7929856,262144,563,2,0.013922728758958131
fine_grained_action_localization_193,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_193.mp4,2,0,0,0,4,1408,1408,7929856,262144,565,2,0.01306051414727566
fine_grained_action_localization_205,P02-20240211-104948,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_205.mp4,2,2,1,2,4,1408,1408,7929856,262144,565,2,0.02715546409837971
fine_grained_action_localization_217,P02-20240211-104948,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_217.mp4,4,0,0,0,4,1408,1408,7929856,262144,561,2,0.02715546409837971
fine_grained_action_localization_250,P02-20240211-141313,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_250.mp4,0,0,1,0,4,1408,1408,7929856,262144,563,2,0.009039547856316964
fine_grained_action_localization_256,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_256.mp4,1,3,0,3,4,1408,1408,7929856,262144,562,2,0.01721170411054593
fine_grained_action_localization_263,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_263.mp4,2,3,0,3,4,1408,1408,7929856,262144,562,2,0.011595322809855545
fine_grained_action_localization_312,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_312.mp4,3,0,0,0,4,1408,1408,7929856,262144,564,2,0.010028413889963554
fine_grained_action_localization_332,P02-20240211-111822,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_332.mp4,4,0,0,0,4,1408,1408,7929856,262144,562,2,0.026572187414155034
fine_grained_action_localization_360,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_360.mp4,0,0,1,0,4,1408,1408,7929856,262144,562,2,0.027855152620620178
fine_grained_action_localization_370,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_370.mp4,0,0,1,0,4,1408,1408,7929856,262144,562,2,0.015980822558762584
fine_grained_action_localization_421,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_421.mp4,3,0,0,0,4,1408,1408,7929856,262144,564,2,0.015980822558762584
fine_grained_action_localization_439,P02-20240209-194141,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_439.mp4,3,3,1,3,4,1408,1408,7929856,262144,562,2,0.01241208086330839
fine_grained_action_localization_460,P02-20240211-104948,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_460.mp4,2,2,1,2,4,1408,1408,7929856,262144,562,2,0.02715546409837971
fine_grained_action_localization_478,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_478.mp4,4,0,0,0,4,1408,1408,7929856,262144,562,2,0.02814919011567732
fine_grained_action_localization_504,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_504.mp4,4,3,0,3,4,1408,1408,7929856,262144,563,2,0.014219694482173355
fine_grained_action_localization_520,P02-20240211-111219,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_520.mp4,3,1,0,1,4,1408,1408,7929856,262144,562,2,0.023081362068670317
fine_grained_action_localization_538,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_538.mp4,2,1,0,1,4,1408,1408,7929856,262144,562,2,0.020325202726012875
fine_grained_action_localization_576,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_576.mp4,2,0,0,0,4,1408,1408,7929856,262144,564,2,0.013157894912271291
fine_grained_action_localization_600,P02-20240211-104948,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_600.mp4,1,2,0,2,4,1408,1408,7929856,262144,561,2,0.033268645155964206
fine_grained_action_localization_624,P02-20240211-141313,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_624.mp4,0,0,1,0,4,1408,1408,7929856,262144,563,2,0.028024287712899807
fine_grained_action_localization_642,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_642.mp4,1,2,0,2,4,1408,1408,7929856,262144,563,2,0.013922728758958131
fine_grained_action_localization_656,P02-20240210-122334,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_656.mp4,0,2,0,2,4,1408,1408,7929856,262144,564,2,0.012630249930449452
fine_grained_action_localization_677,P02-20240211-111822,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_677.mp4,1,0,0,0,4,1408,1408,7929856,262144,563,2,0.048289736392034224
fine_grained_action_localization_695,P02-20240210-195833,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_695.mp4,4,2,0,2,4,1408,1408,7929856,262144,563,2,0.020157903886426874
fine_grained_action_localization_715,P02-20240211-100250,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_715.mp4,3,0,0,0,4,1408,1408,7929856,262144,564,2,0.012503907551228538
fine_grained_action_localization_728,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_728.mp4,3,0,0,0,4,1408,1408,7929856,262144,564,2,0.010010845285367508
fine_grained_action_localization_753,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_753.mp4,4,0,0,0,4,1408,1408,7929856,262144,564,2,0.008150512769209722
fine_grained_action_localization_771,P02-20240209-194141,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_771.mp4,3,1,0,1,4,1408,1408,7929856,262144,562,2,0.011835486377909767
fine_grained_action_localization_778,P02-20240211-141313,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_778.mp4,1,0,0,0,4,1408,1408,7929856,262144,561,2,0.03065917339596898
fine_grained_action_localization_810,P02-20240211-141313,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_810.mp4,0,1,0,1,4,1408,1408,7929856,262144,563,2,0.008214114347075564
