question_id,video_id,video_path,correct_idx,pred_idx,is_correct,response,num_frames,frame_height,frame_width,total_pixels,requested_pixels,input_tokens,output_tokens,sample_fps_eff
fine_grained_action_localization_21,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_21.mp4,0,2,0,2,4,1408,1408,7929856,262144,562,2,0.017311021730120852
fine_grained_action_localization_35,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_35.mp4,0,0,1,0,4,1408,1408,7929856,262144,563,2,0.01721170411054593
fine_grained_action_localization_61,P02-20240211-141313,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_61.mp4,4,2,0,2,4,1408,1408,7929856,262144,563,2,0.008214114347075564
fine_grained_action_localization_68,P02-20240211-120927,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_68.mp4,0,0,1,0,4,1408,1408,7929856,262144,565,2,0.012071219903587047
fine_grained_action_localization_77,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_77.mp4,2,0,0,0,4,1408,1408,7929856,262144,563,2,0.016673613510373293
fine_grained_action_localization_82,P02-20240211-111822,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_82.mp4,4,3,0,3,4,1408,1408,7929856,262144,564,2,0.012623605578021464
fine_grained_action_localization_90,P02-20240209-194141,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_90.mp4,2,0,0,0,4,1408,1408,7929856,262144,563,2,0.010024225364454135
fine_grained_action_localization_105,P02-20240209-184316,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_105.mp4,4,0,0,0,4,1408,1408,7929856,262144,562,2,0.021711598340379386
fine_grained_action_localization_108,P02-20240211-175138,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_108.mp4,0,0,1,0,4,1408,1408,7929856,262144,567,2,0.033333332803514276
fine_grained_action_localization_115,P02-20240209-194141,/content/drive/MyDrive/381V final project/eval data/trimmed_clips/fine_grained_action_localization_115.mp4,4,0,0,0,4,1408,1408,7929856,262144,564,2,0.011835486377909767
