question_id,video_id,video_path,correct_idx,pred_idx,is_correct,response,num_frames,frame_height,frame_width,total_pixels,requested_pixels,input_tokens,output_tokens,sample_fps_eff,vision_tokens
fine_grained_action_localization_31,P02-20240211-141313,/home/aryan/ami/381V-final/data/original_crops_256/fine_grained_action_localization_31.mp4,3,2,0,2,4,256,256,262144,524288,449,2,2.6666666666666665,512
fine_grained_action_localization_53,P02-20240211-111219,/home/aryan/ami/381V-final/data/original_crops_256/fine_grained_action_localization_53.mp4,3,0,0,0,4,256,256,262144,524288,445,2,2.6666666666666665,512
fine_grained_action_localization_66,P02-20240211-115653,/home/aryan/ami/381V-final/data/original_crops_256/fine_grained_action_localization_66.mp4,2,3,0,3,4,256,256,262144,524288,446,2,2.6666666666666665,512
fine_grained_action_localization_71,P02-20240209-194141,/home/aryan/ami/381V-final/data/original_crops_256/fine_grained_action_localization_71.mp4,2,0,0,0,4,256,256,262144,524288,445,2,2.6666666666666665,512
fine_grained_action_localization_81,P02-20240209-194141,/home/aryan/ami/381V-final/data/original_crops_256/fine_grained_action_localization_81.mp4,3,1,0,1,4,256,256,262144,524288,446,2,2.6666666666666665,512
fine_grained_action_localization_99,P02-20240211-115653,/home/aryan/ami/381V-final/data/original_crops_256/fine_grained_action_localization_99.mp4,3,4,0,4,4,256,256,262144,524288,446,2,2.6666666666666665,512
fine_grained_action_localization_193,P02-20240211-120927,/home/aryan/ami/381V-final/data/original_crops_256/fine_grained_action_localization_193.mp4,2,2,1,2,4,256,256,262144,524288,448,2,2.6666666666666665,512
fine_grained_action_localization_205,P02-20240211-104948,/home/aryan/ami/381V-final/data/original_crops_256/fine_grained_action_localization_205.mp4,2,0,0,0,4,256,256,262144,524288,449,2,2.6666666666666665,512
fine_grained_action_localization_217,P02-20240211-104948,/home/aryan/ami/381V-final/data/original_crops_256/fine_grained_action_localization_217.mp4,4,0,0,0,4,256,256,262144,524288,445,2,2.6666666666666665,512
fine_grained_action_localization_250,P02-20240211-141313,/home/aryan/ami/381V-final/data/original_crops_256/fine_grained_action_localization_250.mp4,0,0,1,0,4,256,256,262144,524288,446,2,2.6666666666666665,512
fine_grained_action_recognition_33,P02-20240210-100308,/home/aryan/ami/381V-final/data/original_crops_256/fine_grained_action_recognition_33.mp4,2,0,0,0,4,256,256,262144,524288,335,2,2.6666666666666665,512
fine_grained_action_recognition_208,P02-20240211-115653,/home/aryan/ami/381V-final/data/original_crops_256/fine_grained_action_recognition_208.mp4,3,4,0,4,4,256,256,262144,524288,404,2,2.6666666666666665,512
fine_grained_action_recognition_247,P02-20240211-120927,/home/aryan/ami/381V-final/data/original_crops_256/fine_grained_action_recognition_247.mp4,1,4,0,4,4,256,256,262144,524288,390,2,2.6666666666666665,512
fine_grained_action_recognition_280,P02-20240210-122334,/home/aryan/ami/381V-final/data/original_crops_256/fine_grained_action_recognition_280.mp4,2,2,1,2,4,256,256,262144,524288,339,2,2.6666666666666665,512
fine_grained_action_recognition_551,P02-20240211-100250,/home/aryan/ami/381V-final/data/original_crops_256/fine_grained_action_recognition_551.mp4,2,2,1,2,4,256,256,262144,524288,312,2,2.6666666666666665,512
fine_grained_how_recognition_22,P02-20240209-194141,/home/aryan/ami/381V-final/data/original_crops_256/fine_grained_how_recognition_22.mp4,1,2,0,2,4,256,256,262144,524288,299,2,2.6666666666666665,512
fine_grained_how_recognition_136,P02-20240210-122334,/home/aryan/ami/381V-final/data/original_crops_256/fine_grained_how_recognition_136.mp4,0,3,0,3,4,256,256,262144,524288,310,2,2.6666666666666665,512
fine_grained_how_recognition_206,P02-20240211-104948,/home/aryan/ami/381V-final/data/original_crops_256/fine_grained_how_recognition_206.mp4,4,0,0,0,4,256,256,262144,524288,307,2,2.6666666666666665,512
fine_grained_why_recognition_34,P02-20240209-231412,/home/aryan/ami/381V-final/data/original_crops_256/fine_grained_why_recognition_34.mp4,3,1,0,1,4,256,256,262144,524288,273,2,2.6666666666666665,512
fine_grained_why_recognition_48,P02-20240210-122334,/home/aryan/ami/381V-final/data/original_crops_256/fine_grained_why_recognition_48.mp4,3,4,0,4,4,256,256,262144,524288,343,2,2.6666666666666665,512
fine_grained_why_recognition_57,P02-20240210-100308,/home/aryan/ami/381V-final/data/original_crops_256/fine_grained_why_recognition_57.mp4,4,0,0,0,4,256,256,262144,524288,285,2,2.6666666666666665,512
fine_grained_why_recognition_109,P02-20240210-122334,/home/aryan/ami/381V-final/data/original_crops_256/fine_grained_why_recognition_109.mp4,2,0,0,0,4,256,256,262144,524288,279,2,2.6666666666666665,512
fine_grained_why_recognition_168,P02-20240211-104948,/home/aryan/ami/381V-final/data/original_crops_256/fine_grained_why_recognition_168.mp4,1,3,0,3,4,256,256,262144,524288,280,2,2.6666666666666665,512
fine_grained_why_recognition_223,P02-20240209-194141,/home/aryan/ami/381V-final/data/original_crops_256/fine_grained_why_recognition_223.mp4,4,2,0,2,4,256,256,262144,524288,297,2,2.6666666666666665,512
fine_grained_why_recognition_244,P02-20240211-120927,/home/aryan/ami/381V-final/data/original_crops_256/fine_grained_why_recognition_244.mp4,0,0,1,0,4,256,256,262144,524288,272,2,2.6666666666666665,512
fine_grained_why_recognition_313,P02-20240210-100308,/home/aryan/ami/381V-final/data/original_crops_256/fine_grained_why_recognition_313.mp4,0,0,1,0,4,256,256,262144,524288,280,2,2.6666666666666665,512
fine_grained_why_recognition_393,P02-20240211-115653,/home/aryan/ami/381V-final/data/original_crops_256/fine_grained_why_recognition_393.mp4,2,0,0,0,4,256,256,262144,524288,365,2,2.6666666666666665,512
gaze_gaze_estimation_2,P02-20240210-122334,/home/aryan/ami/381V-final/data/original_crops_256/gaze_gaze_estimation_2.mp4,1,0,0,0,4,256,256,262144,524288,258,2,2.6666666666666665,512
gaze_gaze_estimation_16,P02-20240211-104948,/home/aryan/ami/381V-final/data/original_crops_256/gaze_gaze_estimation_16.mp4,1,3,0,3,4,256,256,262144,524288,266,2,2.6666666666666665,512
gaze_gaze_estimation_22,P02-20240211-111219,/home/aryan/ami/381V-final/data/original_crops_256/gaze_gaze_estimation_22.mp4,2,1,0,1,4,256,256,262144,524288,259,2,2.6666666666666665,512
gaze_gaze_estimation_45,P02-20240210-092616,/home/aryan/ami/381V-final/data/original_crops_256/gaze_gaze_estimation_45.mp4,3,0,0,0,4,256,256,262144,524288,268,2,2.6666666666666665,512
gaze_gaze_estimation_69,P02-20240209-194141,/home/aryan/ami/381V-final/data/original_crops_256/gaze_gaze_estimation_69.mp4,0,0,1,0,4,256,256,262144,524288,278,2,2.6666666666666665,512
gaze_gaze_estimation_76,P02-20240210-100308,/home/aryan/ami/381V-final/data/original_crops_256/gaze_gaze_estimation_76.mp4,1,2,0,2,4,256,256,262144,524288,264,2,2.6666666666666665,512
gaze_gaze_estimation_104,P02-20240211-104948,/home/aryan/ami/381V-final/data/original_crops_256/gaze_gaze_estimation_104.mp4,4,1,0,1,4,256,256,262144,524288,258,2,2.6666666666666665,512
gaze_gaze_estimation_127,P02-20240210-122334,/home/aryan/ami/381V-final/data/original_crops_256/gaze_gaze_estimation_127.mp4,4,4,1,4,4,256,256,262144,524288,272,2,2.6666666666666665,512
gaze_gaze_estimation_143,P02-20240211-100250,/home/aryan/ami/381V-final/data/original_crops_256/gaze_gaze_estimation_143.mp4,2,3,0,3,4,256,256,262144,524288,267,2,2.6666666666666665,512
gaze_gaze_estimation_175,P02-20240209-194141,/home/aryan/ami/381V-final/data/original_crops_256/gaze_gaze_estimation_175.mp4,0,1,0,1,4,256,256,262144,524288,264,2,2.6666666666666665,512
gaze_gaze_estimation_204,P02-20240210-220650,/home/aryan/ami/381V-final/data/original_crops_256/gaze_gaze_estimation_204.mp4,3,3,1,3,4,256,256,262144,524288,268,2,2.6666666666666665,512
gaze_gaze_estimation_209,P02-20240210-100308,/home/aryan/ami/381V-final/data/original_crops_256/gaze_gaze_estimation_209.mp4,3,4,0,4,4,256,256,262144,524288,259,2,2.6666666666666665,512
gaze_gaze_estimation_215,P02-20240209-194141,/home/aryan/ami/381V-final/data/original_crops_256/gaze_gaze_estimation_215.mp4,4,2,0,2,4,256,256,262144,524288,266,2,2.6666666666666665,512
gaze_gaze_estimation_231,P02-20240210-092616,/home/aryan/ami/381V-final/data/original_crops_256/gaze_gaze_estimation_231.mp4,3,1,0,1,4,256,256,262144,524288,268,2,2.6666666666666665,512
gaze_gaze_estimation_262,P02-20240211-115653,/home/aryan/ami/381V-final/data/original_crops_256/gaze_gaze_estimation_262.mp4,4,4,1,4,4,256,256,262144,524288,259,2,2.6666666666666665,512
